Serial No.,PARTS,LINK,NOs,PRICE
1,MCU - XIAO ESP32-S3,https://robocraze.com/products/seeed-studio-xiao-esp32-s3-development-board-supports-wi-fi-bluetooth-5-0?variant=47775391645920&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,x1,$9.30
2,Switches - Akko V5 Creamy Blue Pro Switch,https://stackskb.com/store/akko-v5-creamy-blue-pro-switch-pack-of-45/,x1,$12.66
3,Encoder - EC11 Rotary Encoder,https://www.sunrom.com/p/rotary-encoder-ec11-flat-d-shaft-20mm,x2,$0.59
4,LEDs - WS2812B LEDs,https://sharvielectronics.com/product/ws2812b-mini-rgb-smd-led-3535-led-type-package/,x12,$1.79
5,Diodes - 1N4148 Fast Switching Diodes,https://hubtronics.in/1002?search=1n4148,x12,$3.74
6,"Screen - 0.91"" OLED Display",https://robu.in/product/0-91-inch-128x32-i2c-iic-serial-blue-oled-lcd-display-module/,x1,$2.23
7,Solder Wire - Noel Solder Wire,https://robu.in/product/solder-wire-1-00mm-50gm/,x1,$3.16
8,Flux - Solder Flux,https://www.amazon.in/Electron-Soldering-Syringe-No-Clean-Electronics/dp/B0GTMJHBJ4?source=ps-sl-shoppingads-lpcontext&psc=1&smid=A3C7Z4RVM9A3G1,x1,$4.21
9,Multimeter - Multimeter with continuity,https://www.amazon.in/Themisto-TH-M98-Digital-Multimeter-Counts/dp/B097RS212G?source=ps-sl-shoppingads-lpcontext&smid=A2K5VGK3OPN02U&th=1,x1,$8.42
10,Cutter - Wire Cutter,https://www.amazon.in/Electronic-Spices-Nipper-07-Aluminium-Stripper/dp/B0BLNX18FM?source=ps-sl-shoppingads-lpcontext&psc=1&smid=AJ6SIZC8YQDZX,x1,$1.48
11,Solder helper - Hands for helping,https://www.amazon.in/Serplex%C2%AE-Soldering-Flexible-Insulated-Alligator/dp/B0DFQ6G523?source=ps-sl-shoppingads-lpcontext&smid=A3T8K809Q96RB6&th=1,x1,$9.29
12,PCBs,,x1,Not known
13,3D Print,,x1,Not known
TOTAL,,,34,$56.87 (excluding PCBs and 3D Print)
APPROX. TOTAL,,,34,$75 to $80 (including PCBs and 3D Print and shipping)
