Designator,Mid X,Mid Y,Rotation,Layer
D1,101.6954,-98.6994,270.0,top
D10,160.274,-72.0598,0.0,bottom
D11,134.7978,-89.535,0.0,bottom
D12,162.7378,-107.7468,0.0,bottom
D13,92.849,-87.884,270.0,top
D2,98.1454,-98.6994,270.0,top
D3,94.5954,-98.6994,270.0,top
D4,103.499,-87.884,270.0,top
D5,99.949,-87.884,270.0,top
D6,96.399,-87.884,270.0,top
D7,97.9816,-78.0024,0.0,bottom
D8,97.917,-108.0008,0.0,bottom
D9,130.0364,-62.2544,0.0,bottom
J1,112.0,-63.27,0.0,top
SW1,121.0,-81.835,0.0,top
SW2,140.08,-81.835,0.0,top
SW3,159.08,-81.835,0.0,top
SW4,121.0,-100.835,0.0,top
SW5,140.0,-100.835,0.0,top
SW6,159.0,-100.835,0.0,top
SW7,159.75,-63.0,0.0,top
U1,97.9075,-62.569,0.0,top
